period,deposit_facility_rate_percent,obs_status,obs_conf,obs_pre_break,source_record_sha256
2014-04-06,0,A,F,,655b38ac05f3b3c49f29e546b3db92fd13be38c31dff7161fabff96f7002698d
2014-04-07,0,A,F,,eb5b20d1d40491df68a3d8ebe6cc4b5a6588c2bb03a417453a120aac508c0852
2014-04-08,0,A,F,,ff5ae363ed62b4b4221ecf764d421b466c093ba19c76b0b7b297dd35e9342f35
2014-04-09,0,A,F,,1d5709c0af2731f12a4ee481810b519190b82dffb105acc335831c79844f5263
2014-04-10,0,A,F,,6b2e875a8375cc60b66044f7b58b2cda27d78a4be89627aef0859dd991389bfe
2014-04-11,0,A,F,,492001cb57e25c73b8ecb1be7b0b85104a0eb0d1991d5de19b266c3c41064ea3
2014-04-12,0,A,F,,707c3af8bf51100937be0778e0ea516b7a13ebe5bec45713bf5d46ea45ca60e1
2014-04-13,0,A,F,,cd261531d2bbe1eca6cde0b8b313449c2218a5725e86758e4eace3511de0d988
2014-04-14,0,A,F,,9a03294dc4d531cd78409644d9e79cffb5acbdbb521e026bdea6ff954dbe4854
2014-04-15,0,A,F,,51d2ebc507cc84f864de987176eeadb184ebe5d79005ef331bbb4b00c5fa83e9
2014-04-16,0,A,F,,397b0a05084331afff2b98527b3e1977169f82adf7db42cd880dd1430c5521a6
2014-04-17,0,A,F,,848907d383e4c495d9cc255b16a328caf446246b7cb43c5cbc130590a029437b
2014-04-18,0,A,F,,41d911781619505308e3d956a4fb662aad66a051f3a7b43ef6fe750433ab6ca6
2014-04-19,0,A,F,,a3ddf1450090f9bc399b8ad9a3c5ebd49ac86733e0d73357bc27ad0be98fd049
2014-04-20,0,A,F,,a2652c21c4fe1ef2781bf0eee2297d23c843926bdf0f8119051717fb3523bd98
2014-04-21,0,A,F,,d2ad42a0fe498656666849836ae042ff057e6cd7d06b5d95712daff718a74fee
2014-04-22,0,A,F,,a9455efdc49e3cf6210ef44057d1279ef618831c8815a4cce5f705b64b11ea03
2014-04-23,0,A,F,,d8d27f3c5abc6a671a585cc5c63b7ef9a8aa93159fb6a6f0a0f3940e9c500c94
2014-04-24,0,A,F,,59da191ce5c42d8256dc6596e47e3d5e3f1f1aaa937ee3e15e9557114c537ac9
2014-04-25,0,A,F,,cc4636727c2c935fda3b525e7608815dc1fd08c28b4b93f6045c915b0aa25cb7
2014-04-26,0,A,F,,a719f1988e3b59a8812118fd9676469f81663a12c7497921aac6a16ec71b313b
2014-04-27,0,A,F,,94c6f25aaa52eba7d8b6ca0a077ccdabfb7e1d27f27b1130aeb8ff63ccfd80ab
2014-04-28,0,A,F,,1d42d22767964e20ef40a9718d63e8f9c8177dee6c3bff4ef697559df87bf1b0
2014-04-29,0,A,F,,48223737504a2d66610d01f506ecc9836efaae2e6be7f0fb68b6c750164942e5
2014-04-30,0,A,F,,029ce9c772cd28fbfc3f8b3ab6d122ed66e712381146e35fbc9ad033c85232ea
2014-05-01,0,A,F,,9523ef057ad6c6795b8efc89218f8aa053bce219e4290e39bc46fb5ee7c36127
2014-05-02,0,A,F,,e3c1423bd5547013d3c0ad12c314e5554aef1a704fbe3f01033b9db40072f87d
2014-05-03,0,A,F,,de25abf65e4a62bd663941db1439f94dbf984b571172f2b75a7f75c21d42bea9
2014-05-04,0,A,F,,04599de2eff88c4237dbad755883bc4350b282c5e80744217b4cf77c3a004644
2014-05-05,0,A,F,,5726884e846c7457d2b6f8af8c5b6e92553d8c71be08797efdad061858ad476e
2014-05-06,0,A,F,,e27de92268394bbd591ce255bb6fc4f346c41f77fe87af0e8faab77292e22c6c
2014-05-07,0,A,F,,a7de822a8819b96c5a8681c1cd587d738e9df1a207998505e2735ddd5a1c4314
2014-05-08,0,A,F,,9f9f450ece51976875a0269de20b9548afbe76cdac61ce504369d5cd27dc8cbb
2014-05-09,0,A,F,,73c3e9557aa56371035c798add54ffddebc59b79bb1347e3cdd79aa5ebba36c1
2014-05-10,0,A,F,,0bbf802a57fab8545fc21b9f7afbb9f4cb399f54dbd4adeb822700f05c5c8cb8
2014-05-11,0,A,F,,1bfb3d5acdc03acbc7304d6c701b3b998112b27aa7ddd508cf44b57efff09cdd
2014-05-12,0,A,F,,17d09cc4783f6832222511b772f79478096e6d7aaaf50ae3613c640cc0c83a1c
2014-05-13,0,A,F,,077dcff41a42b313974b8b6d030ab1711dab3519aeebf91a4611ebb3000157b6
2014-05-14,0,A,F,,c13561931a608a6f4f29c0fc8fb4527ce59043c22a62c9b1378960327494104e
2014-05-15,0,A,F,,04132c7fa0687421ebb522f8ab1a5c18dcdef046d29454c5a58041b68ee76f53
2014-05-16,0,A,F,,8dba49e3054b73c63b356191e426e65d99339946c4ef2b4674ecce690a02c909
2014-05-17,0,A,F,,f3d497f80f8c40daf38a841bd193ceea8180b185c2243e0112e382f90413191a
2014-05-18,0,A,F,,84db7a2b67cb44c6e80f0e53ba15dcb2917ec8bc863580952b668c6ab5553bd1
2014-05-19,0,A,F,,347d1c810a59cf9d63f96a7873aed6a3babc5aa84877f49c28ba47dbfc00505c
2014-05-20,0,A,F,,34c8858608ace44eb68d182ec059b68c5010e7a6b8b908b9dc0d309d1b5765c8
2014-05-21,0,A,F,,80df697f258f8980eab3f63959dc5cdd534a8caeaefaf255c508c8dab067df06
2014-05-22,0,A,F,,ed3b357be58f3049be0fc2373004a699437c2b9bfc6f3d9c3b82e2d2304d2d0a
2014-05-23,0,A,F,,9e0a8416c7f7936c226e0b19319ae27d0952027333f6582a68d52299c8bd6a90
2014-05-24,0,A,F,,4b2f0096f9c3543952b94800409c608a06d70887e4a2b008e21b03414839999d
2014-05-25,0,A,F,,2e10f2541ac2f632dc305030b36b06540c4066d8a89aca71a93f6b53d5324cdf
2014-05-26,0,A,F,,d5a79cae8aa78a1e4601a646dd0d6eaf5c2f1532913fcf67278a79c5ab132f25
2014-05-27,0,A,F,,c4afad8c967372dd3416b591fe8c257edec38ddbcec7c9653690a3457bc5b6e3
2014-05-28,0,A,F,,a17d08a0d4cc9ea5d4bcffa38f94fc6bfcdb11d35e2aaf871a6a474ddd5be6d4
2014-05-29,0,A,F,,5c069a21a4dec015739b8b18f67726fffac5616d21f3da7cdf01d6330f79602b
2014-05-30,0,A,F,,1ddb091d6accb47a57af26a9596df6e22899b7060fba40e0e03aac798802be3c
2014-05-31,0,A,F,,d2402547b3aa544c36d05c12024b78dabe8ea6530f360ef9d9c04efb6f705c19
2014-06-01,0,A,F,,bdc14f9e809c69c88d0f103a5c5c116c2349a542e5301ff49e67389a063d6200
2014-06-02,0,A,F,,4cfdc1bf9b92e057a58f95a5626b7115005d498c8936486a2c8c73cbf2cc5614
